,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,지자체,해수욕장명,백사장면적(m2),camp_num,beach_code,latitude,longitude,obs_wtemp,obs_wave,obs_air,wtemp,wave,atemp,wind,toilet,shower
80,80,80,80,강원도,동산포," 14,500 ",1,BCH114,37.982,128.756,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,2
81,81,81,81,강원도,동호," 16,240 ",0,BCH124,35.518,126.483,TW_0079,TW_0079,TW_0079,0.0,0.0,0.0,0.0,3,2
82,82,82,82,강원도,물치," 16,590 ",0,BCH106,38.152,128.608,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,1
83,83,83,83,강원도,북분," 17,550 ",1,BCH123,37.987,128.749,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,2,2
84,84,84,84,강원도,설악," 33,972 ",4,BCH108,38.13,128.622,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,3,2
85,85,85,85,강원도,송전," 32,220 ",1,BCH325,38.092,128.658,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,0,0
86,86,86,86,강원도,원포," 14,400 ",2,BCH121,37.932,128.791,TW_0089,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,1
87,87,87,87,강원도,인구," 17,816 ",0,BCH116,37.969,128.762,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,2,1
88,88,88,88,강원도,잔교," 9,510 ",0,BCH111,37.993,128.742,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,1
89,89,89,89,강원도,정암," 14,400 ",0,BCH107,38.138,128.616,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,2
90,90,90,90,강원도,죽도," 8,220 ",2,BCH115,37.973,128.76,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,2,2
91,91,91,91,강원도,중광정," 12,400 ",0,BCH112,38.027,128.718,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,1,1
92,92,92,92, 강원도 , 지  경 ," 25,300 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
93,93,93,93,강원도,하조대," 37,800 ",1,BCH007,38.023,128.725,TW_0091,TW_0091,TW_0091,0.0,0.0,0.0,0.0,4,2
94,94,94,94,경상남도,구영," 3,916 ",0,BCH185,35.031,128.691,TW_0086,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
95,95,95,95,경상남도,구조라," 21,275 ",0,BCH066,34.806,128.692,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
96,96,96,96,경상남도,농소," 35,464 ",0,BCH177,35.004,128.701,TW_0086,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
97,97,97,97,경상남도,덕원," 7,479 ",0,BCH181,34.778,128.575,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
98,98,98,98,경상남도,덕포," 9,812 ",1,BCH179,34.91,128.71,TW_0086,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
99,99,99,99,경상남도,망치," 8,874 ",0,BCH180,34.811,128.666,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
100,100,100,100,경상남도,명사," 10,234 ",0,BCH061,34.326,126.812,TW_0078,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
101,101,101,101,경상남도,물안," 4,920 ",1,BCH175,35.01,128.652,TW_0085,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
102,102,102,102,경상남도,사곡," 12,818 ",1,BCH176,34.898,128.571,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
103,103,103,103,경상남도,여차," 5,542 ",1,BCH186,34.713,128.625,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
104,104,104,104,경상남도,옥계," 1,150 ",3,BCH140,37.627,129.049,TW_0094,TW_0094,TW_0094,0.0,0.0,0.0,0.0,0,0
105,105,105,105,경상남도,와현모래숲," 19,482 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
106,106,106,106,경상남도,죽림," 7,750 ",0,BCH301,34.837,128.586,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
107,107,107,107,경상남도,학동흑진주몽돌," 44,968 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
108,108,108,108,경상남도,함목," 9,880 ",0,BCH182,34.74,128.652,TW_0084,DT_0042,KG_0024,0.0,0.0,0.0,0.0,0,0
109,109,109,109,경상남도,황포," 4,260 ",0,BCH184,35.02,128.674,TW_0086,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
110,110,110,110,경상남도,흥남," 11,288 ",0,BCH178,34.959,128.715,TW_0086,KG_0024,KG_0024,0.0,0.0,0.0,0.0,0,0
111,111,111,111,경상남도,두곡월포," 25,500 ",0,BCH193,34.768,127.907,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
112,112,112,112,경상남도,사촌," 9,000 ",1,BCH192,34.743,127.855,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
113,113,113,113,경상남도,상주은모래비치," 115,500 ",1,BCH041,34.72,127.988,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
114,114,114,114,경상남도,설리," 13,760 ",0,BCH194,34.706,128.026,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
